metric,winner,loser,delta
mfe,-33.0,-32.70000076293945,-0.2999992370605469
mfe,-33.0,-27.100000381469727,-5.899999618530273
mfe,-34.70000076293945,-28.0,-6.700000762939453
mfe,-34.70000076293945,-32.70000076293945,-2.0
mfe,-34.70000076293945,-27.100000381469727,-7.600000381469727
mfe,-35.20000076293945,-28.0,-7.200000762939453
mfe,-35.20000076293945,-32.70000076293945,-2.5
mfe,-35.20000076293945,-34.70000076293945,-0.5
mfe,-35.20000076293945,-27.100000381469727,-8.100000381469727
mfe,-36.29999923706055,-32.70000076293945,-3.5999984741210938
mfe,-36.29999923706055,-34.70000076293945,-1.5999984741210938
mfe,-36.29999923706055,-27.100000381469727,-9.19999885559082
mfe,-22.399999618530273,-11.899999618530273,-10.5
mfe,-22.399999618530273,-10.100000381469727,-12.299999237060547
mfe,-22.399999618530273,-13.399999618530273,-9.0
mfe,-22.399999618530273,-18.600000381469727,-3.799999237060547
mfe,-22.399999618530273,-17.799999237060547,-4.600000381469727
mfe,-21.799999237060547,-11.899999618530273,-9.899999618530273
mfe,-21.799999237060547,-10.100000381469727,-11.69999885559082
mfe,-21.799999237060547,-13.399999618530273,-8.399999618530273
mfe,-21.799999237060547,-18.600000381469727,-3.1999988555908203
mfe,-44.400001525878906,-39.099998474121094,-5.3000030517578125
mfe,-44.400001525878906,-43.599998474121094,-0.8000030517578125
mfe,-40.400001525878906,-39.099998474121094,-1.3000030517578125
mfe,-43.29999923706055,-39.099998474121094,-4.200000762939453
mfe,-44.0,-39.099998474121094,-4.900001525878906
mfe,-44.0,-35.400001525878906,-8.599998474121094
mfe,-44.0,-43.599998474121094,-0.40000152587890625
mfe,-40.79999923706055,-39.099998474121094,-1.7000007629394531
mfe,-41.5,-39.099998474121094,-2.4000015258789062
mfe,-50.5,-39.099998474121094,-11.400001525878906
mfe,-50.5,-43.599998474121094,-6.900001525878906
mfe,-43.599998474121094,-39.099998474121094,-4.5
mfe,-38.29999923706055,-37.599998474121094,-0.7000007629394531
mfe,-38.29999923706055,-37.79999923706055,-0.5
mfe,-38.29999923706055,-22.5,-15.799999237060547
mfe,-38.29999923706055,-22.700000762939453,-15.599998474121094
mfe,-38.29999923706055,-32.400001525878906,-5.899997711181641
mfe,-7.900000095367432,-5.0,-2.9000000953674316
mfe,-7.900000095367432,-1.899999976158142,-6.0000001192092896
mfe,-7.900000095367432,-6.699999809265137,-1.200000286102295
mfe,-7.900000095367432,-7.5,-0.40000009536743164
mfe,-29.299999237060547,-24.100000381469727,-5.19999885559082
mfe,-29.299999237060547,-21.299999237060547,-8.0
mfe,-29.299999237060547,-24.100000381469727,-5.19999885559082
mfe,-26.799999237060547,-24.100000381469727,-2.6999988555908203
mfe,-26.799999237060547,-21.299999237060547,-5.5
mfe,-26.799999237060547,-24.100000381469727,-2.6999988555908203
mfe,-29.5,-29.299999237060547,-0.20000076293945312
mfe,-29.5,-24.100000381469727,-5.399999618530273
mfe,-29.5,-26.799999237060547,-2.700000762939453
mfe,-29.5,-21.299999237060547,-8.200000762939453
mfe,-29.5,-24.100000381469727,-5.399999618530273
mfe,-30.100000381469727,-29.299999237060547,-0.8000011444091797
mfe,-30.100000381469727,-24.100000381469727,-6.0
mfe,-30.100000381469727,-26.799999237060547,-3.3000011444091797
mfe,-30.100000381469727,-21.299999237060547,-8.80000114440918
mfe,-30.100000381469727,-24.100000381469727,-6.0
mfe,-33.599998474121094,-29.299999237060547,-4.299999237060547
mfe,-33.599998474121094,-24.100000381469727,-9.499998092651367
mfe,-33.599998474121094,-26.799999237060547,-6.799999237060547
mfe,-33.599998474121094,-21.299999237060547,-12.299999237060547
mfe,-33.599998474121094,-30.5,-3.0999984741210938
mfe,-33.599998474121094,-24.100000381469727,-9.499998092651367
mfe,-32.79999923706055,-27.399999618530273,-5.399999618530273
mfe,-32.79999923706055,-26.799999237060547,-6.0
mfe,-28.0,-27.399999618530273,-0.6000003814697266
mfe,-28.0,-26.799999237060547,-1.2000007629394531
mfe,-27.0,-26.399999618530273,-0.6000003814697266
mfe,-27.0,-24.200000762939453,-2.799999237060547
mfe,-27.0,-20.200000762939453,-6.799999237060547
mfe,-27.0,-26.799999237060547,-0.20000076293945312
mfe,-24.799999237060547,-24.200000762939453,-0.5999984741210938
mfe,-32.20000076293945,-26.899999618530273,-5.30000114440918
mfe,-32.20000076293945,-25.5,-6.700000762939453
mfe,-32.20000076293945,-28.700000762939453,-3.5
mfe,-32.20000076293945,-27.100000381469727,-5.100000381469727
mfe,-32.20000076293945,-25.5,-6.700000762939453
mfe,-27.600000381469727,-26.899999618530273,-0.7000007629394531
mfe,-27.600000381469727,-25.5,-2.1000003814697266
mfe,-27.600000381469727,-27.100000381469727,-0.5
mfe,-27.600000381469727,-25.5,-2.1000003814697266
mfe,-30.200000762939453,-26.899999618530273,-3.3000011444091797
mfe,-30.200000762939453,-25.5,-4.700000762939453
mfe,-30.200000762939453,-28.700000762939453,-1.5
mfe,-30.200000762939453,-27.100000381469727,-3.1000003814697266
mfe,-30.200000762939453,-25.5,-4.700000762939453
mfe,-33.70000076293945,-32.29999923706055,-1.4000015258789062
mfe,-33.70000076293945,-33.0,-0.7000007629394531
mfe,-43.70000076293945,-38.900001525878906,-4.799999237060547
mfe,-43.70000076293945,-33.0,-10.700000762939453
mfe,-43.70000076293945,-40.0,-3.700000762939453
mfe,-33.599998474121094,-33.0,-0.5999984741210938
mfe,-41.599998474121094,-38.900001525878906,-2.6999969482421875
mfe,-41.599998474121094,-33.0,-8.599998474121094
mfe,-41.599998474121094,-40.0,-1.5999984741210938
mfe,-15.100000381469727,-15.0,-0.10000038146972656
mfe,-15.100000381469727,-14.199999809265137,-0.9000005722045898
mfe,-15.100000381469727,-14.5,-0.6000003814697266
mfe,-15.100000381469727,-12.600000381469727,-2.5
