step,val/accw,val/advmean,val/loss,val/lossdpo,val/losssft
0,0.4014357924461365,0.41380423307418823,0.7401050329208374,0.6542981863021851,1.7161362171173096
1,0.33965516090393066,0.1332075595855713,0.7856802940368652,0.6818771362304688,2.0760631561279297
2,0.35979989171028137,0.4742085039615631,0.7483127117156982,0.6486268043518066,1.993717908859253
3,0.33256030082702637,0.24693092703819275,0.7815778255462646,0.6702067852020264,2.227421522140503
4,0.3565647602081299,0.5406672358512878,0.747251570224762,0.6427227258682251,2.0905776023864746
5,0.3928374648094177,0.5168437957763672,0.7341150641441345,0.6463495492935181,1.7553107738494873
6,0.39725154638290405,0.6530206203460693,0.7196148633956909,0.6331996917724609,1.7283029556274414
7,0.35054075717926025,0.5717470645904541,0.7419070601463318,0.6409528851509094,2.019083261489868
8,0.3417161703109741,0.4223269820213318,0.7559716701507568,0.6541507840156555,2.036418914794922
9,0.33048775792121887,0.24836093187332153,0.7810918688774109,0.6695741415023804,2.230354070663452
10,0.35105448961257935,0.3843967318534851,0.760837972164154,0.6571308374404907,2.074143171310425
11,0.34661322832107544,0.2625387907028198,0.7795983552932739,0.6679496765136719,2.232973575592041
12,0.3361598253250122,0.3135907053947449,0.7693771123886108,0.6642360091209412,2.102821111679077
13,0.3665044903755188,0.374897837638855,0.7581018209457397,0.657590389251709,2.0102286338806152
14,0.34163346886634827,0.43423736095428467,0.7608312368392944,0.6523133516311646,2.170356512069702
15,0.34276363253593445,0.3851405382156372,0.7707548141479492,0.6570699214935303,2.273698091506958
16,0.343137264251709,-0.07060599327087402,0.8040421605110168,0.7003702521324158,2.0734379291534424
17,0.36714720726013184,0.9300047159194946,0.79655921459198,0.6144877672195435,3.641429901123047
18,0.317241370677948,0.24471566081047058,0.905714750289917,0.6805756688117981,4.502782821655273
19,0.34372827410697937,1.107926368713379,0.8138806819915771,0.599318265914917,4.291248321533203
20,0.3252319097518921,0.5574673414230347,0.8894230723381042,0.6475039124488831,4.838383197784424
21,0.3414880335330963,1.2611019611358643,0.8136461973190308,0.5881270170211792,4.510383129119873
22,0.36099693179130554,1.1777968406677246,0.7904694080352783,0.6031549572944641,3.746288776397705
23,0.3667494058609009,1.523451805114746,0.7554404735565186,0.5709812641143799,3.6891846656799316
24,0.333289235830307,1.3109793663024902,0.8076670169830322,0.5902982950210571,4.347374439239502
25,0.33174917101860046,0.9815893173217773,0.8321208953857422,0.6133826375007629,4.374765872955322
26,0.3115675747394562,0.5550373792648315,0.887515664100647,0.6449176073074341,4.851962089538574
27,0.3266265392303467,0.8748548030853271,0.8441489934921265,0.6195881366729736,4.491218566894531
28,0.3248339891433716,0.6206150054931641,0.8812623023986816,0.6371871829032898,4.881502151489258
29,0.3183073401451111,0.7176063060760498,0.862411618232727,0.6355611085891724,4.537010192871094
30,0.33427026867866516,0.8755475282669067,0.8343149423599243,0.6167422533035278,4.35145378112793
31,0.3306773006916046,1.0022015571594238,0.8429532647132874,0.6077685952186584,4.703693389892578
32,0.31614986062049866,0.9175286889076233,0.8647980093955994,0.6152874231338501,4.990211486816406
33,0.30392158031463623,-0.2061222791671753,0.9432862997055054,0.7150092124938965,4.5655412673950195
34,0.36714720726013184,1.7638272047042847,0.9451237916946411,0.5727721452713013,7.447033405303955
35,0.317241370677948,0.3610890805721283,1.163815975189209,0.7050347328186035,9.17562484741211
36,0.34372827410697937,2.1731953620910645,0.979102611541748,0.5428961515426636,8.724129676818848
37,0.3252319097518921,1.0611364841461182,1.116194248199463,0.6274152994155884,9.775579452514648
38,0.3414880335330963,2.466057777404785,0.98656165599823,0.5291708707809448,9.147814750671387
39,0.36099693179130554,2.268789768218994,0.955315351486206,0.571824312210083,7.669821739196777
40,0.3667494058609009,2.997366189956665,0.884198784828186,0.5066611766815186,7.550753593444824
41,0.333289235830307,2.5380172729492188,0.9904499053955078,0.5478349328041077,8.852298736572266
42,0.33174917101860046,1.913725733757019,1.0158188343048096,0.5718047618865967,8.880279541015625
43,0.3115675747394562,1.052080750465393,1.1077101230621338,0.6172434091567993,9.809331893920898
44,0.3266265392303467,1.679802417755127,1.038257122039795,0.5807106494903564,9.15092945098877
45,0.3248339891433716,1.230786919593811,1.090681791305542,0.5944835543632507,9.92396354675293
46,0.3183073401451111,1.378411054611206,1.071901798248291,0.6121996641159058,9.194042205810547
47,0.33427026867866516,1.7226864099502563,1.0092581510543823,0.5655019879341125,8.875123977661133
48,0.3306773006916046,1.9479882717132568,1.0332247018814087,0.5570935010910034,9.522624969482422
49,0.31614986062049866,1.8364201784133911,1.0709850788116455,0.5624041557312012,10.171619415283203
50,0.30392158031463623,-0.4782508611679077,1.2151000499725342,0.7469884157180786,9.362231254577637
