epoch,step,train/accw,train/advmean,train/loss,train/lossdpo,train/losssft,val/accw,val/advmean,val/loss,val/lossdpo,val/losssft
,0,,,,,,0.4014357924461365,0.4138535261154175,0.7400860786437988,0.6542882919311523,1.715956449508667
,1,,,,,,0.33965516090393066,0.13347621262073517,0.785658597946167,0.6818532943725586,2.0761070251464844
,2,,,,,,0.35979989171028137,0.4746139943599701,0.748267412185669,0.6485878229141235,1.99359130859375
,3,,,,,,0.33256030082702637,0.24670252203941345,0.7816060781478882,0.6702303886413574,2.2275123596191406
,4,,,,,,0.3565647602081299,0.5407819151878357,0.7472414374351501,0.6427125930786133,2.0905768871307373
,5,,,,,,0.3928374648094177,0.5172415971755981,0.7340531945228577,0.6463134288787842,1.7547950744628906
,6,,,,,,0.39725154638290405,0.653209924697876,0.7195859551429749,0.6331800222396851,1.728118896484375
,7,,,,,,0.35054075717926025,0.5710733532905579,0.7419706583023071,0.6410133838653564,2.019146203994751
,8,,,,,,0.3417161703109741,0.4226965308189392,0.7559486627578735,0.6541129350662231,2.036714553833008
,9,,,,,,0.33048775792121887,0.24860325455665588,0.7810578942298889,0.6695495843887329,2.230165958404541
,10,,,,,,0.35105448961257935,0.385345995426178,0.7607393264770508,0.6570430994033813,2.0739238262176514
,11,,,,,,0.34661322832107544,0.26251959800720215,0.7796064615249634,0.6679519414901733,2.233090400695801
,12,,,,,,0.3361598253250122,0.3138607144355774,0.7693426609039307,0.6642076373100281,2.102701187133789
,13,,,,,,0.3665044903755188,0.3746960759162903,0.7581180930137634,0.6576134562492371,2.0100929737091064
,14,,,,,,0.34163346886634827,0.4344952702522278,0.7608168125152588,0.6522868871688843,2.1705989837646484
,15,,,,,,0.34276363253593445,0.3851909041404724,0.7707446813583374,0.6570664644241333,2.2735657691955566
,16,,,,,,0.343137264251709,-0.06982225179672241,0.803924560546875,0.7002891302108765,2.072709560394287
,17,,,,,,0.36714720726013184,0.9305529594421387,0.7965338230133057,0.6144375801086426,3.641923427581787
,18,,,,,,0.317241370677948,0.24355944991111755,0.905822217464447,0.6806832551956177,4.50277853012085
,19,,,,,,0.34372827410697937,1.1079235076904297,0.8138662576675415,0.5993094444274902,4.291136741638184
,20,,,,,,0.3252319097518921,0.5572528839111328,0.8894560933113098,0.6475028991699219,4.839064598083496
,21,,,,,,0.3414880335330963,1.2605955600738525,0.8137032985687256,0.5881812572479248,4.510439872741699
,22,,,,,,0.36099693179130554,1.1780519485473633,0.7904436588287354,0.603131890296936,3.7462353706359863
,23,,,,,,0.3667494058609009,1.5230109691619873,0.7555183172225952,0.5710341930389404,3.689680814743042
,24,,,,,,0.333289235830307,1.3118009567260742,0.8076079487800598,0.5902290344238281,4.347578048706055
,25,,,,,,0.33174917101860046,0.9822312593460083,0.8320549726486206,0.6133249998092651,4.374598503112793
